"UID","PID","LEGTYPE","CHAMBER","STATECODE","DISTRICT","DISTRAIL","FIRSTNAME","LASTNAME","MIDNAME","PREFIX","GENSUFFIX","TITLE","COMCODE1","COMOFFC1","COMRANK1","SUBCODE11","SUBCOMOFF11","SUBRANK11","SUBCODE12","SUBCOMOFF12","SUBRANK12","SUBCODE13","SUBCOMOFF13","SUBRANK13","SUBCODE14","SUBCOMOFF14","SUBRANK14","SUBCODE15","SUBCOMOFF15","SUBRANK15","COMCODE2","COMOFFC2","COMRANK2","SUBCODE21","SUBCOMOFF21","SUBRANK21","SUBCODE22","SUBCOMOFF22","SUBRANK22","SUBCODE23","SUBCOMOFF23","SUBRANK23","SUBCODE24","SUBCOMOFF24","SUBRANK24","SUBCODE25","SUBCOMOFF25","SUBRANK25","COMCODE3","COMOFFC3","COMRANK3","SUBCODE31","SUBCOMOFF31","SUBRANK31","SUBCODE32","SUBCOMOFF32","SUBRANK32","SUBCODE33","SUBCOMOFF33","SUBRANK33","SUBCODE34","SUBCOMOFF34","SUBRANK34","SUBCODE35","SUBCOMOFF35","SUBRANK35","COMCODE4","COMOFFC4","COMRANK4","SUBCODE41","SUBCOMOFF41","SUBRANK41","SUBCODE42","SUBCOMOFF42","SUBRANK42","SUBCODE43","SUBCOMOFF43","SUBRANK43","SUBCODE44","SUBCOMOFF44","SUBRANK44","SUBCODE45","SUBCOMOFF45","SUBRANK45","COMCODE5","COMOFFC5","COMRANK5","SUBCODE51","SUBCOMOFF51","SUBRANK51","SUBCODE52","SUBCOMOFF52","SUBRANK52","SUBCODE53","SUBCOMOFF53","SUBRANK53","SUBCODE54","SUBCOMOFF54","SUBRANK54","SUBCODE55","SUBCOMOFF55","SUBRANK55","COMCODE6","COMOFFC6","COMRANK6","COMCODE7","COMOFFC7","COMRANK7","COMCODE8","COMOFFC8","COMRANK8","COMCODE9","COMOFFC9","COMRANK9","CUMCOMCODE","CUMSUBCODE"
21771,193067,"FL","H","CA","04","","Tom","McClintock","","Rep.","","US Representative","HNRES","","R006","HNRES10","CHM","R001","HNRES25","","R004","","","","","","","","","","HBUD","","R006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HNRES;HBUD","HNRES10;HNRES25"
21772,158718,"FL","H","CA","05","","Mike","Thompson","","Rep.","","US Representative","HWAY","","D005","HWAY05","","D002","HWAY25","","D004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HWAY","HWAY05;HWAY25"
21773,232639,"FL","H","CA","06","","Doris","Matsui","O.","Rep.","","US Representative","HCOM","","D010","HCOM05","","D011","HCOM10","","D006","HCOM20","","D009","HCOM25","","D005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM","HCOM05;HCOM10;HCOM20;HCOM25"
21774,284011,"FL","H","CA","07","","Ami","Bera","","Rep.","","US Representative","HFOR","VRM","D002","HFOR05","","D002","HFOR10","","D002","","","","","","","","","","HSST","","D006","HSST20","","D005","HSST25","RMM","D001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HFOR;HSST","HFOR05;HFOR10;HSST20;HSST25"
21775,248491,"FL","H","CA","08","","Paul","Cook","J.","Rep.","","US Representative","HARM","","R017","HARM25","","R008","HARM35","VCH","R002","","","","","","","","","","HFOR","VCH","R002","HFOR25","","R004","HFOR30","CHM","R001","","","","","","","","","","HNRES","","R014","HNRES05","VCH","R002","HNRES15","","R005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HFOR;HNRES","HARM25;HARM35;HFOR25;HFOR30;HNRES05;HNRES15"
21776,248236,"FL","H","CA","09","","Jerry","McNerney","","Rep.","","US Representative","HCOM","","D013","HCOM05","","D012","HCOM15","","D002","HCOM20","","D006","","","","","","","HSST","","D011","HSST05","","D005","HSST15","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HCOM;HSST","HCOM05;HCOM15;HCOM20;HSST05;HSST15"
21777,211732,"FL","H","CA","10","","Jeff","Denham","","Rep.","","US Representative","HAGR","","R012","HAGR05","","R003","HAGR15","","R003","","","","","","","","","","HTRA","","R011","HTRA05","","R009","HTRA20","","R010","HTRA25","CHM","R001","","","","","","","HNRES","","R013","HNRES15","","R004","HNRES25","","R007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HTRA;HNRES","HAGR05;HAGR15;HTRA05;HTRA20;HTRA25;HNRES15;HNRES25"
21778,248434,"FL","H","CA","11","","Mark","DeSaulnier","J.","Rep.","","US Representative","HOGOV","","D016","HOGOV20","","D002","HOGOV30","","D003","","","","","","","","","","HTRA","","D026","HTRA20","","D012","HTRA25","","D012","","","","","","","","","","HEDU","","D012","HEDU20","","D004","HEDU25","","D004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HOGOV;HTRA;HEDU","HOGOV20;HOGOV30;HTRA20;HTRA25;HEDU20;HEDU25"
21779,158725,"FL","H","CA","12","","Nancy","Pelosi","","Rep.","","US Representative","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
21780,158726,"FL","H","CA","13","","Barbara","Lee","J.","Rep.","","US Representative","HAPP","","D010","HAPP40","","D003","HAPP50","","D003","HAPP55","","D002","","","","","","","HBUD","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAPP;HBUD","HAPP40;HAPP50;HAPP55"
21781,192997,"FL","H","CA","14","","Jackie","Speier","","Rep.","","US Representative","HARM","","D012","HARM05","","D004","HARM10","RMM","D001","","","","","","","","","","HITL","","D005","HITL15","","D002","HITL20","","D003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HITL","HARM05;HARM10;HITL15;HITL20"
21783,193005,"FL","H","CA","16","","Jim","Costa","","Rep.","","US Representative","HAGR","","D004","HAGR05","","D004","HAGR25","RMM","D001","","","","","","","","","","HNRES","","D005","HNRES05","","D003","HNRES25","","D003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HAGR;HNRES","HAGR05;HAGR25;HNRES05;HNRES25"
21784,281537,"FL","H","CA","17","","Ro","Khanna","","Rep.","","US Representative","HARM","","D025","HARM20","","D009","HARM30","","D008","","","","","","","","","","HBUD","","D010","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HARM;HBUD","HARM20;HARM30"
21786,158733,"FL","H","CA","19","","Zoe","Lofgren","","Rep.","","US Representative","HJUD","","D003","HJUD10","","D009","HJUD20","RMM","D001","","","","","","","","","","HSST","","D003","HSST05","","D002","HSST25","","D002","","","","","","","","","","HHOS","","D002","","","","","","","","","","","","","","","","JLIB","","D002","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","HJUD;HSST;HHOS;JLIB","HJUD10;HJUD20;HSST05;HSST25"
